58;10;Розовый рюкзак;900;;Athlete;70052-11;;Япония
59;10;Оранжевый рюкзак;900;;Athlete;70052-14 ;;Япония
60;10;Голубой рюкзак;900;;Athlete;70052-15;;Япония
61;10;Рюкзак цвета хаки;900;;Athlete;70053-04 ;;Япония
62;10;Красный рюкзак;900;;Athlete;70053-10 ;;Япония
63;10;Розовый рюкзак;900;;Athlete;70053-11;;Япония
64;10;Оранжевый рюкзак;900;;Athlete;70053-14 ;;Япония
65;10;Голубой рюкзак;900;;Athlete;70053-15;;Япония
66;10;Черный рюкзак;900;;Athlete;70062-01;;Япония
67;10;Синий рюкзак;900;;Athlete;70062-03 ;;Япония
68;10;Серый рюкзак;900;;Athlete;70062-09 ;;Япония
69;10;Красный рюкзак;900;;Athlete;70062-10 ;;Япония
70;10;Красный рюкзак;900;;Athlete;70063-10 ;;Япония
71;11;Черный рюкзак;2300;;PROGRES;20023-01;Одно основное отделение, три кармана на молнии и два сбоку, мягкая спинка. В рюкзак можно попасть сверху и сбоку очень удобно! Изготовлен из нейлона и полиэстера. Размер 28x37x14. Объем 14,5.;Япония
72;11;Бежевый рюкзак;2300;;PROGRES;20023-05;Одно основное отделение, три кармана на молнии и два сбоку, мягкая спинка. В рюкзак можно попасть сверху и сбоку очень удобно! Изготовлен из нейлона и полиэстера. Размер 28x37x14. Объем 14,5.;Япония
73;11;Красный рюкзак;2300;;PROGRES;20023-10;Одно основное отделение, три кармана на молнии и два сбоку, мягкая спинка. В рюкзак можно попасть сверху и сбоку очень удобно! Изготовлен из нейлона и полиэстера. Размер 28x37x14. Объем 14,5.;Япония
74;13;Черная дорожная сумка;1200;;ACE GENE;10087-01 ;;Япония
75;13;Черная дорожная сумка;3500;;ACE GENE;45801-01;Сумка изготовлена из нейлона. Размеры 18x23x8;Япония
76;13;Черная дорожная сумка;3500;;ACE GENE;45802-01;Сумка изготовлена из нейлона. Размеры 28x20x10;Япония
77;13;Черная дорожная сумка;3000;;ACE GENE;48162-01;Сумка изготовлена из нейлона. Размеры 26x19x8. Вес 760 гр.;Япония
78;13;Черная дорожная сумка;4000;;ACE GENE;48164-01 ;Сумка изготовлена из нейлона. Размеры 27x20x8. Вес 360 гр.;Япония
79;13;Черная дорожная сумка;5000;;ACE GENE;48168-01 ;Сумка изготовлена из нейлона. Размеры 38x28x9. Вес 590 гр.;Япония
80;13;Черная дорожная сумка;5000;;ACE GENE;48169-01 ;Сумка изготовлена из нейлона. Размеры 41x31x12. Вес 680 гр.;Япония
81;13;Черная дорожная сумка;6000;;ACE GENE;48171-01;Сумка изготовлена из нейлона. Размеры 40x30x14-18. Вес-820гр;Япония
82;13;Черная дорожная сумка;4000;;ACE GENE;48173-01 ;Сумка изготовлена из нейлона. Размеры 26x33x9;Япония
83;13;Черная дорожная сумка;5400;;ACE GENE;48174-01;Сумка изготовлена из нейлона. Размеры 30x35x10;Япония
84;13;Черная дорожная сумка (колеса);4500;;ACE GENE;65227-01 ;;Япония
85;14;Синяя школьная сумка;300;;Athlete;70003-03 ;;Япония
86;14;Красная школьная сумка;300;;Athlete;70003-10 ;;Япония
87;14;Школьная сумка цвета хаки;300;;Athlete;70013-04 ;;Япония
88;14;Бежевый школьная сумка;300;;Athlete;70013-05 ;;Япония
89;14;Голубой школьная сумка;300;;Athlete;70013-15 ;;Япония
90;14;Розовая школьная сумка;1400;;Athlete;70023-11 ;;Япония
91;14;Желтая школьная сумка;1400;;Athlete;70023-13 ;;Япония
92;14;Голубая школьная сумка;1400;;Athlete;70023-15 ;;Япония
93;14;Розовая школьная сумка;1500;;Athlete;70024-11 ;;Япония
94;14;Желтая школьная сумка;1500;;Athlete;70024-13 ;;Япония
95;14;Голубая школьная сумка;1500;;Athlete;70024-15 ;;Япония
96;15;Поясная сумка цвета хаки;200;;Athlete;70014-04 ;;Япония
97;15;Бежевая поясная сумка;200;;Athlete;70014-05 ;;Япония
98;15;Красная поясная сумка;200;;Athlete;70014-10 ;;Япония
99;15;Розовая поясная сумка;200;;Athlete;70014-11 ;;Япония
100;15;Голубая поясная сумка;200;;Athlete;70014-15;;Япония
